time second,u meter second-1,v meter second-1,temp Celsius,salt PSU,DIC umol C L-1,TALK umol C L-1,O2 umol L-1,CACO3 umol C L-1,PO4 umol P L-1,POC umol C L-1,Si umol Si L-1,NANO umol C L-1,ZOO umol C L-1,DOC umol C L-1,DIA umol C L-1,MESO umol C L-1,BSI umol Si L-1,FER umol Fe L-1,BFE umol Fe L-1,GOC umol C L-1,SFE umol Fe L-1,DFE umol Fe L-1,DSI umol Si L-1,NFE umol Fe L-1,NCHL mg Chl m-3,DCHL mg Chl m-3,NO3 umol N L-1,NH4 umol N L-1,w meter second-1
3542400.0,-0.0,-0.0,5.886886119842529,34.16672897338867,2143.53369140625,2309.0439453125,294.85009765625,0.009999999776482582,1.420200228691101,0.009999999776482582,5.738924026489258,0.009999999776482582,0.009999999776482582,10.324853897094727,0.009999999776482582,0.009999999776482582,0.001500000013038516,0.000357841927325353,5.000000058430487e-08,0.009999999776482582,5.000000058430487e-08,5.000000058430487e-08,0.001500000013038516,5.000000058430487e-08,0.0021818182431161404,0.0021818182431161404,18.670682907104492,0.009999999776482582,0.0
3546000.0,0.02942522056400776,-0.004129086155444384,5.886886119842529,34.16672897338867,2143.53466796875,2309.044677734375,294.84942626953125,0.00998581200838089,1.420204997062683,0.010005047544836998,5.738986015319824,0.010005190037190914,0.009998510591685772,10.324748039245605,0.010003955103456974,0.009999767877161503,0.001500797807238996,0.0004179012612439692,4.987527191246954e-08,0.009970965795218945,5.00141226211781e-08,5.006383219097188e-08,0.0014954518992453814,5.0056385703101114e-08,0.00218384456820786,0.0021841588895767927,18.67068099975586,0.01005665771663189,0.0005575677496381104
3549600.0,0.018897250294685364,-0.006286403629928827,5.886885166168213,34.16672897338867,2143.535400390625,2309.04541015625,294.848876953125,0.00997227244079113,1.4202090501785278,0.010010425932705402,5.739044666290283,0.010016046464443207,0.009997021406888962,10.324640274047852,0.010012231767177582,0.009999535046517849,0.0015023589367046952,0.0004775928391609341,4.976000056444718e-08,0.009942644275724888,5.0033637677415754e-08,5.0194962852856406e-08,0.0014910115860402584,5.017215443103851e-08,0.0021880068816244602,0.0021889691706746817,18.670684814453125,0.010104166343808174,0.0012792539782822132
3553200.0,-0.007289842702448368,0.0018875646637752652,5.886994361877441,34.166725158691406,2143.53369140625,2309.042724609375,294.847900390625,0.00995783880352974,1.4201964139938354,0.010036272928118706,5.738480091094971,0.010027117095887661,0.009995535016059875,10.324670791625977,0.010020656511187553,0.009999307803809643,0.001504046143963933,0.0005358733469620347,4.964991973110955e-08,0.009913485497236252,5.006389969253178e-08,5.033312788782496e-08,0.001486448454670608,5.029429672731567e-08,0.0021923985332250595,0.0021940378937870264,18.670251846313477,0.010176598094403744,0.005932113621383905
3556800.0,0.05523356795310974,0.03460129722952843,5.861478328704834,34.16749954223633,2144.220458984375,2310.0146484375,294.9863586425781,0.00998558197170496,1.4240981340408325,0.010365261696279049,5.8929338455200195,0.010469543747603893,0.00999409705400467,10.288012504577637,0.010364038869738579,0.00999900046736002,0.0015274324687197804,0.000643107108771801,4.987340673778817e-08,0.009926608763635159,5.019812832074422e-08,5.318492668493491e-08,0.001488239737227559,5.27868806443621e-08,0.002282495377585292,0.00229922728613019,18.769805908203125,0.01029460970312357,-0.010265832766890526
3560400.0,0.014551089145243168,0.019430285319685936,5.856568813323975,34.16769790649414,2144.39111328125,2310.266357421875,295.04638671875,0.00998237170279026,1.4247640371322632,0.011030064895749092,5.926370620727539,0.01062644924968481,0.009992695413529873,10.279650688171387,0.010485377162694931,0.009998759254813194,0.0015367736341431737,0.0007169295568019152,5.0061892409303255e-08,0.009908799082040787,5.049445306326561e-08,5.420177373594015e-08,0.001485391054302454,5.368182698362034e-08,0.002314912620931864,0.0023368129041045904,18.78912925720215,0.010738902725279331,-0.000197972942260094
3564000.0,-0.03621123358607292,0.03208225965499878,5.849878787994385,34.167884826660156,2144.519287109375,2310.431884765625,295.0247497558594,0.009962993673980236,1.4258925914764404,0.010362950153648853,5.9608941078186035,0.010551024228334427,0.009991173632442951,10.273530006408691,0.010427032597362995,0.009998532012104988,0.0015368001768365502,0.0007711279904469848,5.024344318371732e-08,0.00987482164055109,5.0839339849062526e-08,5.413209080984416e-08,0.0014801421202719212,5.360973531765012e-08,0.002312325406819582,0.0023342675995081663,18.812498092651367,0.01042189635336399,-0.001176177989691496
3567600.0,-0.01761781983077526,0.01697908341884613,5.853365898132324,34.167789459228516,2144.4150390625,2310.281494140625,294.9956359863281,0.009944221936166286,1.4253747463226318,0.011760271154344082,5.938560485839844,0.010498804040253162,0.009989982470870018,10.279505729675293,0.01038604136556387,0.009998318739235401,0.001537669450044632,0.0008250792161561549,5.051625961982609e-08,0.009841558523476124,5.146330295247026e-08,5.413519943431311e-08,0.0014749664114788175,5.361107824342071e-08,0.00231239665299654,0.002334411721676588,18.79816246032715,0.011343345046043396,-0.0019012518459931016
3571200.0,-0.024060871452093124,-0.0011410365113988519,5.855700969696045,34.16773223876953,2144.3583984375,2310.20361328125,294.987548828125,0.009927489794790745,1.425028681755066,0.017144495621323586,5.925107955932617,0.010499708354473114,0.009989926591515541,10.283365249633789,0.010386674664914608,0.009998153895139694,0.0015399769181385636,0.0008830488659441471,5.0933266493302654e-08,0.009810443967580795,5.309221506877293e-08,5.428816862718122e-08,0.001470104674808681,5.374600675622787e-08,0.0023173082154244184,0.0023400967475026846,18.789182662963867,0.014820802956819534,-0.0017912574112415314
3574800.0,-0.02036464959383011,-0.0022453332785516977,5.85920524597168,34.16763687133789,2144.27685546875,2310.091552734375,294.98419189453125,0.009920511394739151,1.4245308637619019,0.026612961664795876,5.9054694175720215,0.010618570260703564,0.00999156292527914,10.289105415344238,0.01047793310135603,0.00999804213643074,0.001547739957459271,0.0009501684689894319,5.157789928489365e-08,0.009789211675524712,5.686839799068366e-08,5.516221790458076e-08,0.0014667053474113345,5.452100282354877e-08,0.002345550572499633,0.0023726043291389942,18.776403427124023,0.020819509401917458,-0.0017036814242601395
